free_text,address,price,price_meter,rooms,area,more,add_link,scraping_date
3 pok mieszkanie 59m z kom lokat -Olsztyn Zatorze,"Mieszkanie na sprzedaż: ul. Hanki Sawickiej, Podleśna, Olsztyn, warmińsko-mazurskie",619 000 zł,10 492 zł/m²,3 pokoje,59 m²,59 m²,/pl/oferta/3-pok-mieszkanie-59m-z-kom-lokat-olsztyn-zatorze-ID4ok4b,01/16/24
Mieszkanie z ogródkiem Olsztyn ul. Kiemliczów,"Mieszkanie na sprzedaż: Gutkowo, Olsztyn, warmińsko-mazurskie",570 000 zł,7945 zł/m²,3 pokoje,"71,74 m²",Inwestycja deweloperska,/pl/oferta/mieszkanie-z-ogrodkiem-olsztyn-ul-kiemliczow-ID4o6u8,01/16/24
Bianco | nowoczesne mieszkanie M6,"Mieszkanie na sprzedaż: ul. Kardynała Stefana Wyszyńskiego, Kormoran, Olsztyn, warmińsko-mazurskie",410 000 zł,9517 zł/m²,2 pokoje,"43,08 m²",Inwestycja deweloperska,/pl/oferta/bianco-nowoczesne-mieszkanie-m6-ID4jWDK,01/16/24
Villa Symfonia | Olsztyn | mieszkanie M22,"Mieszkanie na sprzedaż: ul. Wojciecha Kętrzyńskiego, Osiedle Kętrzyńskiego, Olsztyn, warmińsko-mazurskie",578 608 zł,8600 zł/m²,4 pokoje,"67,28 m²",Inwestycja deweloperska,/pl/oferta/villa-symfonia-olsztyn-mieszkanie-m22-ID4eY1u,01/16/24
A.44 Apartament Omega nad jeziorem w Olsztynie,"Mieszkanie na sprzedaż: ul. Sielska, Dajtki, Olsztyn, warmińsko-mazurskie",724 470 zł,19 222 zł/m²,2 pokoje,"37,69 m²",Inwestycja deweloperska,/pl/oferta/a-44-apartament-omega-nad-jeziorem-w-olsztynie-ID4kXSV,01/16/24
Mieszkanie 4 pokojowe w nowoczesnym stylu,"Mieszkanie na sprzedaż: Jaroty, Olsztyn, warmińsko-mazurskie",850 000 zł,9659 zł/m²,4 pokoje,88 m²,88 m²,/pl/oferta/mieszkanie-4-pokojowe-w-nowoczesnym-stylu-ID4ojN1,01/16/24
"Mieszkanie 2 pokoje, możliwa zamiana, ul. Dworcowa","Mieszkanie na sprzedaż: ul. Dworcowa, Osiedle Kętrzyńskiego, Olsztyn, warmińsko-mazurskie",305 000 zł,9443 zł/m²,2 pokoje,"32,3 m²",Biuro nieruchomości,/pl/oferta/mieszkanie-2-pokoje-mozliwa-zamiana-ul-dworcowa-ID4ojgV,01/16/24
Duże mieszkanie 3 minuty od centrum miasta,"Mieszkanie na sprzedaż: ul. Stefana Okrzei, Osiedle Kętrzyńskiego, Olsztyn, warmińsko-mazurskie",409 000 zł,6705 zł/m²,3 pokoje,61 m²,Biuro nieruchomości,/pl/oferta/duze-mieszkanie-3-minuty-od-centrum-miasta-ID4oj8c,01/16/24
Przestronne mieszkanie w kamienicy w Centrum,"Mieszkanie na sprzedaż: ul. Partyzantów, Osiedle Kętrzyńskiego, Olsztyn, warmińsko-mazurskie",469 000 zł,6372 zł/m²,3 pokoje,"73,6 m²",Biuro nieruchomości,/pl/oferta/przestronne-mieszkanie-w-kamienicy-w-centrum-ID4odvg,01/16/24
Mieszkanie z ogródkiem Olsztyn ul. Kiemliczów,"Mieszkanie na sprzedaż: Gutkowo, Olsztyn, warmińsko-mazurskie",570 000 zł,7945 zł/m²,3 pokoje,"71,74 m²",Inwestycja deweloperska,/pl/oferta/mieszkanie-z-ogrodkiem-olsztyn-ul-kiemliczow-ID4o6u4,01/16/24
Bianco | mieszkanie 4 pok. M19,"Mieszkanie na sprzedaż: ul. Kardynała Stefana Wyszyńskiego, Kormoran, Olsztyn, warmińsko-mazurskie",634 000 zł,7970 zł/m²,4 pokoje,"79,55 m²",Inwestycja deweloperska,/pl/oferta/bianco-mieszkanie-4-pok-m19-ID4jWE5,01/16/24
rezerwacja mieszkanie M16,"Mieszkanie na sprzedaż: ul. Wojciecha Kętrzyńskiego, Osiedle Kętrzyńskiego, Olsztyn, warmińsko-mazurskie",433 521 zł,8700 zł/m²,3 pokoje,"49,83 m²",Inwestycja deweloperska,/pl/oferta/rezerwacja-mieszkanie-m16-ID4eY1h,01/16/24
A.56 Apartament nad jeziorem w Olsztynie,"Mieszkanie na sprzedaż: ul. Sielska, Dajtki, Olsztyn, warmińsko-mazurskie",687 570 zł,18 832 zł/m²,2 pokoje,"36,51 m²",Inwestycja deweloperska,/pl/oferta/a-56-apartament-nad-jeziorem-w-olsztynie-ID4kXT5,01/16/24
3-pokojowe mieszkanie gotowe do wprowadzenia,"Mieszkanie na sprzedaż: ul. Borowa, Zatorze, Olsztyn, warmińsko-mazurskie",649 000 zł,9618 zł/m²,3 pokoje,"67,48 m²",Biuro nieruchomości,/pl/oferta/3-pokojowe-mieszkanie-gotowe-do-wprowadzenia-ID4oiNR,01/16/24
Warszawska99 | mieszkanie 2-pok. | 48,"Mieszkanie na sprzedaż: al. Aleja Warszawska, Kortowo, Olsztyn, warmińsko-mazurskie",,,2 pokoje,"45,65 m²",Inwestycja deweloperska,/pl/oferta/warszawska99-mieszkanie-2-pok-48-ID4ntYK,01/16/24
"2-pokojowe mieszkanie na sprzedaż, do wprowadzenia","Mieszkanie na sprzedaż: ul. Aleksandra Puszkina, Zatorze, Olsztyn, warmińsko-mazurskie",275 000 zł,7660 zł/m²,2 pokoje,"35,9 m²",Biuro nieruchomości,/pl/oferta/2-pokojowe-mieszkanie-na-sprzedaz-do-wprowadzenia-ID4oiyj,01/16/24
Luksusowy czteropokojowy apartament w Centrum!,"Mieszkanie na sprzedaż: ul. Kołobrzeska, Pojezierze, Olsztyn, warmińsko-mazurskie",830 000 zł,11 761 zł/m²,4 pokoje,"70,57 m²",Biuro nieruchomości,/pl/oferta/luksusowy-czteropokojowy-apartament-w-centrum-ID4o3WJ,01/16/24
REZERWACJA mieszkanie 3 pokoje Generałów Olsztyn,"Mieszkanie na sprzedaż: ul. gen. Franciszka Kleeberga 9, Osiedle Generałów, Olsztyn, warmińsko-mazurskie",539 000 zł,8722 zł/m²,3 pokoje,"61,8 m²",Biuro nieruchomości,/pl/oferta/rezerwacja-mieszkanie-3-pokoje-generalow-olsztyn-ID4nSns,01/16/24
